department,role,age,years_at_company,monthly_salary,education,performance_rating
技术部,高级工程师,32,5.2,35000,硕士,A
产品部,产品经理,29,3.5,28000,本科,B
技术部,资深架构师,41,8.7,58000,硕士,A
设计部,UI设计师,26,2.1,18000,本科,B
市场部,市场经理,34,6.3,25000,硕士,A
技术部,工程师,25,1.2,18000,本科,C
人事部,HR主管,38,9.5,22000,本科,B
运营部,运营经理,31,4.8,26000,本科,B
技术部,前端工程师,27,2.9,22000,本科,B
销售部,销售总监,45,12.3,65000,本科,A
设计部,资深设计师,33,6.8,32000,硕士,A
技术部,算法工程师,28,3.2,38000,博士,A
财务部,财务经理,36,8.1,30000,硕士,B
技术部,工程师,24,0.8,15000,本科,C
产品部,资深产品经理,35,7.4,42000,硕士,A
运维部,运维主管,33,5.9,28000,本科,B
市场部,市场专员,25,1.5,12000,本科,C
技术部,技术总监,43,11.2,72000,硕士,A
人事部,HR专员,24,1.1,10000,本科,C
运营部,运营专员,26,2.3,15000,本科,B
设计部,视觉设计师,28,3.7,22000,本科,B
技术部,工程师,30,4.2,26000,硕士,B
销售部,销售经理,32,5.5,35000,本科,A
技术部,DevOps工程师,29,3.8,30000,本科,B
产品部,产品助理,23,0.6,8000,本科,C
技术部,资深工程师,37,8.9,48000,硕士,A
市场部,品牌经理,33,6.2,28000,硕士,A
财务部,财务专员,26,2.4,12000,本科,B
设计部,UI设计师,27,2.8,20000,本科,B
技术部,工程师,31,4.5,28000,硕士,B
人事部,HR经理,39,10.1,35000,硕士,A
销售部,销售专员,25,1.8,12000,本科,C
运营部,运营总监,42,11.5,58000,硕士,A
技术部,测试工程师,28,3.1,20000,本科,B
产品部,产品经理,30,4.0,26000,硕士,B
市场部,市场主管,34,6.5,28000,本科,B
技术部,安全工程师,35,7.2,42000,硕士,A
财务部,会计,29,3.5,16000,本科,B
技术部,工程师,26,1.9,19000,本科,C
设计部,设计总监,40,10.8,50000,硕士,A
