date,region,channel,product_category,quantity,amount,customer_age,payment_method
2025-04-01,华东,线上,数码,2,598,28,微信支付
2025-04-01,华东,线上,家居,1,899,45,支付宝
2025-04-01,华南,线下,服饰,1,459,32,信用卡
2025-04-01,华北,线上,食品,3,477,38,微信支付
2025-04-01,华东,线上,数码,1,1599,29,支付宝
2025-04-01,西南,线上,美妆,2,378,26,微信支付
2025-04-01,华东,线下,家居,1,299,52,现金
2025-04-02,华中,线上,数码,1,129,24,微信支付
2025-04-02,华东,线上,服饰,3,297,31,支付宝
2025-04-02,华南,线上,美妆,1,329,27,微信支付
2025-04-02,华东,线下,数码,1,599,35,信用卡
2025-04-02,西北,线上,食品,1,469,48,支付宝
2025-04-03,华东,线上,家居,2,178,30,微信支付
2025-04-03,华南,线上,数码,1,3299,33,信用卡
2025-04-03,华北,线上,服饰,2,598,25,微信支付
2025-04-03,华东,线上,美妆,1,899,36,支付宝
2025-04-03,西南,线下,食品,4,316,42,微信支付
2025-04-04,华东,线上,数码,1,6999,34,信用卡
2025-04-04,华南,线上,家居,1,459,50,支付宝
2025-04-04,华中,线上,服饰,1,399,28,微信支付
2025-04-04,华东,线下,数码,1,359,27,现金
2025-04-04,东北,线上,美妆,3,357,31,微信支付
2025-04-05,华东,线上,食品,2,398,29,支付宝
2025-04-05,华南,线上,数码,2,398,26,微信支付
2025-04-05,华北,线上,家居,5,295,40,微信支付
2025-04-05,华东,线上,服饰,1,599,32,支付宝
2025-04-05,西南,线上,数码,1,1599,30,信用卡
2025-04-06,华东,线上,美妆,1,1299,38,支付宝
2025-04-06,华南,线下,服饰,1,1299,44,信用卡
2025-04-06,华东,线上,家居,1,2999,47,支付宝
2025-04-07,华北,线上,数码,1,1899,35,信用卡
2025-04-07,华东,线上,食品,2,498,28,微信支付
2025-04-07,华南,线上,美妆,1,459,24,微信支付
2025-04-07,华东,线上,服饰,1,1599,41,信用卡
2025-04-07,华中,线上,家居,1,269,33,支付宝
2025-04-08,华东,线上,数码,1,599,29,微信支付
2025-04-08,华南,线上,服饰,1,499,30,支付宝
2025-04-08,华北,线下,家居,1,1899,55,现金
2025-04-08,华东,线上,美妆,2,598,34,微信支付
2025-04-08,西南,线上,数码,1,399,22,微信支付
2025-04-09,华东,线上,食品,1,389,46,支付宝
2025-04-09,华南,线上,服饰,2,998,28,信用卡
2025-04-09,华东,线上,数码,1,5999,32,信用卡
2025-04-09,华中,线下,家居,1,4999,48,信用卡
2025-04-09,东北,线上,美妆,1,299,26,微信支付
2025-04-10,华东,线上,服饰,1,1899,37,支付宝
2025-04-10,华南,线上,数码,1,499,31,微信支付
2025-04-10,华东,线上,食品,3,597,39,微信支付
